           1           1           0         181
   6.283185    
  -3.141593     (-9.407190,0.7166694)
  -3.106686     (-9.488701,0.7055076)
  -3.071780     (-9.566176,0.6949382)
  -3.036873     (-9.639440,0.6850204)
  -3.001966     (-9.708508,0.6757525)
  -2.967060     (-9.773236,0.6671464)
  -2.932153     (-9.833529,0.6592136)
  -2.897247     (-9.889253,0.6519824)
  -2.862340     (-9.940329,0.6454606)
  -2.827433     (-9.986645,0.6396649)
  -2.792527     (-10.02811,0.6346009)
  -2.757620     (-10.06461,0.6302899)
  -2.722714     (-10.09603,0.6267344)
  -2.687807     (-10.12227,0.6239557)
  -2.652900     (-10.14324,0.6219558)
  -2.617994     (-10.15886,0.6207364)
  -2.583087     (-10.16901,0.6203200)
  -2.548181     (-10.17361,0.6207046)
  -2.513274     (-10.17258,0.6219002)
  -2.478368     (-10.16586,0.6239002)
  -2.443461     (-10.15338,0.6267115)
  -2.408554     (-10.13507,0.6303365)
  -2.373648     (-10.11091,0.6347694)
  -2.338741     (-10.08083,0.6400111)
  -2.303835     (-10.04482,0.6460585)
  -2.268928     (-10.00286,0.6529007)
  -2.234021     (-9.954947,0.6605315)
  -2.199115     (-9.901090,0.6689488)
  -2.164208     (-9.841275,0.6781374)
  -2.129302     (-9.775567,0.6880741)
  -2.094395     (-9.703973,0.6987581)
  -2.059489     (-9.626555,0.7101779)
  -2.024582     (-9.543373,0.7223048)
  -1.989675     (-9.454500,0.7351310)
  -1.954769     (-9.360023,0.7486293)
  -1.919862     (-9.259995,0.7627838)
  -1.884956     (-9.154556,0.7775693)
  -1.850049     (-9.043818,0.7929639)
  -1.815143     (-8.927880,0.8089527)
  -1.780236     (-8.806887,0.8254963)
  -1.745329     (-8.680940,0.8425840)
  -1.710423     (-8.550246,0.8601735)
  -1.675516     (-8.414920,0.8782487)
  -1.640610     (-8.275095,0.8967835)
  -1.605703     (-8.131054,0.9157324)
  -1.570796     (-7.982779,0.9350949)
  -1.535890     (-7.830530,0.9548354)
  -1.500983     (-7.674644,0.9748904)
  -1.466077     (-7.515088,0.9952763)
  -1.431170     (-7.352125,1.015947)
  -1.396263     (-7.185940,1.036867)
  -1.361357     (-7.016794,1.058015)
  -1.326450     (-6.844808,1.079355)
  -1.291544     (-6.670228,1.100868)
  -1.256637     (-6.493246,1.122520)
  -1.221731     (-6.314079,1.144284)
  -1.186824     (-6.132932,1.166135)
  -1.151917     (-5.950007,1.188051)
  -1.117011     (-5.765532,1.209988)
  -1.082104     (-5.579712,1.231939)
  -1.047198     (-5.392784,1.253864)
  -1.012291     (-5.204941,1.275751)
 -0.9773844     (-5.016420,1.297572)
 -0.9424778     (-4.827442,1.319291)
 -0.9075713     (-4.638231,1.340905)
 -0.8726646     (-4.449003,1.362379)
 -0.8377581     (-4.260002,1.383695)
 -0.8028514     (-4.071446,1.404833)
 -0.7679449     (-3.883567,1.425771)
 -0.7330383     (-3.696595,1.446487)
 -0.6981317     (-3.510771,1.466965)
 -0.6632251     (-3.326326,1.487185)
 -0.6283185     (-3.143489,1.507122)
 -0.5934120     (-2.962508,1.526765)
 -0.5585054     (-2.783620,1.546094)
 -0.5235988     (-2.607059,1.565080)
 -0.4886922     (-2.433076,1.583731)
 -0.4537856     (-2.261908,1.602004)
 -0.4188790     (-2.093799,1.619893)
 -0.3839725     (-1.928996,1.637377)
 -0.3490659     (-1.767736,1.654437)
 -0.3141593     (-1.610276,1.671068)
 -0.2792527     (-1.456845,1.687241)
 -0.2443461     (-1.307682,1.702934)
 -0.2094395     (-1.163056,1.718143)
 -0.1745329     (-1.023160,1.732846)
 -0.1396263     (-0.8882796,1.747027)
 -0.1047198     (-0.7586086,1.760658)
 -6.9813170E-02 (-0.6343699,1.773731)
 -3.4906585E-02 (-0.5158161,1.786231)
  0.0000000E+00 (-0.4032583,1.798128)
  3.4906585E-02 (-0.2967882,1.809410)
  6.9813170E-02 (-0.1965796,1.820080)
  0.1047198     (-0.1029553,1.830087)
  0.1396263     (-1.6048048E-02,1.839433)
  0.1745329     (6.4015083E-02,1.848101)
  0.2094395     (0.1369542,1.856068)
  0.2443461     (0.2026582,1.863335)
  0.2792527     (0.2609707,1.869862)
  0.3141593     (0.3117397,1.875645)
  0.3490659     (0.3548768,1.880681)
  0.3839725     (0.3902241,1.884936)
  0.4188790     (0.4177211,1.888416)
  0.4537856     (0.4372668,1.891108)
  0.4886922     (0.4488025,1.892996)
  0.5235988     (0.4523084,1.894070)
  0.5585054     (0.4477248,1.894330)
  0.5934120     (0.4350336,1.893760)
  0.6283185     (0.4142643,1.892365)
  0.6632251     (0.3854276,1.890146)
  0.6981317     (0.3485898,1.887086)
  0.7330383     (0.3037803,1.883203)
  0.7679449     (0.2511274,1.878489)
  0.8028514     (0.1906946,1.872945)
  0.8377581     (0.1226131,1.866590)
  0.8726646     (4.7022633E-02,1.859419)
  0.9075713     (-3.5918515E-02,1.851453)
  0.9424778     (-0.1260416,1.842682)
  0.9773844     (-0.2231458,1.833144)
   1.012291     (-0.3270418,1.822835)
   1.047198     (-0.4375062,1.811779)
   1.082104     (-0.5542539,1.800003)
   1.117011     (-0.6771284,1.787504)
   1.151917     (-0.8057946,1.774322)
   1.186824     (-0.9400116,1.760462)
   1.221731     (-1.079477,1.745965)
   1.256637     (-1.223923,1.730845)
   1.291544     (-1.373053,1.715127)
   1.326450     (-1.526552,1.698834)
   1.361357     (-1.684105,1.682005)
   1.396263     (-1.845367,1.664658)
   1.431170     (-2.010137,1.646823)
   1.466077     (-2.177956,1.628522)
   1.500983     (-2.348603,1.609799)
   1.535890     (-2.521711,1.590674)
   1.570796     (-2.697081,1.571177)
   1.605703     (-2.874198,1.551332)
   1.640610     (-3.053027,1.531181)
   1.675516     (-3.233040,1.510736)
   1.710423     (-3.414047,1.490045)
   1.745329     (-3.595718,1.469129)
   1.780236     (-3.777838,1.448018)
   1.815143     (-3.960104,1.426731)
   1.850049     (-4.142277,1.405301)
   1.884956     (-4.324093,1.383758)
   1.919862     (-4.505329,1.362135)
   1.954769     (-4.685767,1.340441)
   1.989675     (-4.865185,1.318713)
   2.024582     (-5.043387,1.296969)
   2.059489     (-5.220190,1.275237)
   2.094395     (-5.395404,1.253542)
   2.129302     (-5.568880,1.231911)
   2.164208     (-5.740444,1.210350)
   2.199115     (-5.909985,1.188894)
   2.234021     (-6.077332,1.167562)
   2.268928     (-6.242393,1.146370)
   2.303835     (-6.405053,1.125347)
   2.338741     (-6.565197,1.104505)
   2.373648     (-6.722744,1.083867)
   2.408554     (-6.877604,1.063447)
   2.443461     (-7.029704,1.043263)
   2.478368     (-7.178981,1.023344)
   2.513274     (-7.325360,1.003695)
   2.548181     (-7.468780,0.9843451)
   2.583087     (-7.609191,0.9653051)
   2.617994     (-7.746555,0.9465842)
   2.652900     (-7.880795,0.9282168)
   2.687807     (-8.011898,0.9102045)
