	2	0
1	-1.000000	-0.000000	-0.000000
2	-0.866025	-0.500000	-0.000000
3	-0.500000	-0.866025	-0.000000
4	0.000000	-1.000000	-0.000000
5	0.500000	-0.866025	-0.000000
6	0.866025	-0.500000	-0.000000
7	1.000000	-0.000000	-0.000000
8	-0.866025	-0.000000	-0.500000
9	-0.750000	-0.433013	-0.500000
10	-0.433013	-0.750000	-0.500000
11	0.000000	-0.866025	-0.500000
12	0.433013	-0.750000	-0.500000
13	0.750000	-0.433013	-0.500000
14	0.866025	-0.000000	-0.500000
15	-0.500000	-0.000000	-0.866025
16	-0.433013	-0.250000	-0.866025
17	-0.250000	-0.433013	-0.866025
18	0.000000	-0.500000	-0.866025
19	0.250000	-0.433013	-0.866025
20	0.433013	-0.250000	-0.866025
21	0.500000	-0.000000	-0.866025
22	-0.000000	0.000000	-1.000000
23	-0.000000	0.000000	-1.000000
24	-0.000000	0.000000	-1.000000
25	0.000000	0.000000	-1.000000
26	0.000000	0.000000	-1.000000
27	0.000000	0.000000	-1.000000
28	0.000000	0.000000	-1.000000
29	-0.500000	0.000000	-0.866025
30	-0.433013	0.250000	-0.866025
31	-0.250000	0.433013	-0.866025
32	0.000000	0.500000	-0.866025
33	0.250000	0.433013	-0.866025
34	0.433013	0.250000	-0.866025
35	0.500000	0.000000	-0.866025
36	-0.866025	0.000000	-0.500000
37	-0.750000	0.433013	-0.500000
38	-0.433013	0.750000	-0.500000
39	0.000000	0.866025	-0.500000
40	0.433013	0.750000	-0.500000
41	0.750000	0.433013	-0.500000
42	0.866025	0.000000	-0.500000
43	-1.000000	0.000000	-0.000000
44	-0.866025	0.500000	-0.000000
45	-0.500000	0.866025	-0.000000
46	0.000000	1.000000	-0.000000
47	0.500000	0.866025	-0.000000
48	0.866025	0.500000	-0.000000
49	1.000000	0.000000	-0.000000
0	0	0	0
1	8	9	2
2	9	10	3
3	10	11	4
4	11	12	5
5	12	13	6
6	13	14	7
8	15	16	9
9	16	17	10
10	17	18	11
11	18	19	12
12	19	20	13
13	20	21	14
15	22	23	16
16	23	24	17
17	24	25	18
18	25	26	19
19	26	27	20
20	27	28	21
22	29	30	23
23	30	31	24
24	31	32	25
25	32	33	26
26	33	34	27
27	34	35	28
29	36	37	30
30	37	38	31
31	38	39	32
32	39	40	33
33	40	41	34
34	41	42	35
36	43	44	37
37	44	45	38
38	45	46	39
39	46	47	40
40	47	48	41
41	48	49	42
0	0	0	0
