 VARIABLES="X" "Y" "abs(eta) (m)" "angle(phi) (rad)" "PRE1" "PRE2"
ZONE N=     25 ,E =      16 ,F=FEPOINT,ET=QUADRILATERAL
 -0.5000000E+02 -0.5000000E+02  0.4682963E-02 -0.1457573E+01  0.5290886E-03 -0.4652978E-02
 -0.5000000E+02 -0.2500000E+02  0.5356141E-02 -0.2970135E+01 -0.5277605E-02 -0.9138572E-03
 -0.5000000E+02  0.0000000E+00  0.5722058E-02  0.2711132E+01 -0.5200055E-02  0.2387754E-02
 -0.5000000E+02  0.2500000E+02  0.5356141E-02 -0.2970135E+01 -0.5277605E-02 -0.9138572E-03
 -0.5000000E+02  0.5000000E+02  0.4682963E-02 -0.1457573E+01  0.5290886E-03 -0.4652978E-02
 -0.2500000E+02 -0.5000000E+02  0.5133516E-02 -0.2973910E+01 -0.5061515E-02 -0.8567724E-03
 -0.2500000E+02 -0.2500000E+02  0.6589443E-02  0.1216545E+01  0.2285802E-02  0.6180281E-02
 -0.2500000E+02  0.0000000E+00  0.7906549E-02  0.1501268E+00  0.7817617E-02  0.1182531E-02
 -0.2500000E+02  0.2500000E+02  0.6589443E-02  0.1216545E+01  0.2285802E-02  0.6180281E-02
 -0.2500000E+02  0.5000000E+02  0.5133516E-02 -0.2973910E+01 -0.5061515E-02 -0.8567724E-03
  0.0000000E+00 -0.5000000E+02  0.5198389E-02  0.2701230E+01 -0.4702448E-02  0.2215904E-02
  0.0000000E+00 -0.2500000E+02  0.7152279E-02  0.1328309E+00  0.7089274E-02  0.9472522E-03
  0.0000000E+00  0.0000000E+00  0.6192280E-01 -0.2916462E+01 -0.6036017E-01 -0.1382325E-01
  0.0000000E+00  0.2500000E+02  0.7152279E-02  0.1328309E+00  0.7089274E-02  0.9472522E-03
  0.0000000E+00  0.5000000E+02  0.5198389E-02  0.2701230E+01 -0.4702448E-02  0.2215904E-02
  0.2500000E+02 -0.5000000E+02  0.4686786E-02 -0.2982732E+01 -0.4627771E-02 -0.7414173E-03
  0.2500000E+02 -0.2500000E+02  0.5687803E-02  0.1195318E+01  0.2085817E-02  0.5291547E-02
  0.2500000E+02  0.0000000E+00  0.6397577E-02  0.1111387E+00  0.6358106E-02  0.7095553E-03
  0.2500000E+02  0.2500000E+02  0.5687803E-02  0.1195318E+01  0.2085817E-02  0.5291547E-02
  0.2500000E+02  0.5000000E+02  0.4686786E-02 -0.2982732E+01 -0.4627771E-02 -0.7414173E-03
  0.5000000E+02 -0.5000000E+02  0.4053329E-02 -0.1469885E+01  0.4083322E-03 -0.4032709E-02
  0.5000000E+02 -0.2500000E+02  0.4463262E-02 -0.2987897E+01 -0.4410649E-02 -0.6832862E-03
  0.5000000E+02  0.0000000E+00  0.4673175E-02  0.2688956E+01 -0.4202573E-02  0.2043758E-02
  0.5000000E+02  0.2500000E+02  0.4463262E-02 -0.2987897E+01 -0.4410649E-02 -0.6832862E-03
  0.5000000E+02  0.5000000E+02  0.4053329E-02 -0.1469885E+01  0.4083322E-03 -0.4032709E-02
           1           2           7           6
           2           3           8           7
           3           4           9           8
           4           5          10           9
           6           7          12          11
           7           8          13          12
           8           9          14          13
           9          10          15          14
          11          12          17          16
          12          13          18          17
          13          14          19          18
          14          15          20          19
          16          17          22          21
          17          18          23          22
          18          19          24          23
          19          20          25          24
