 VARIABLES="X" "Y" "abs(eta) (m)" "angle(phi) (rad)" "PRE1" "PRE2"
ZONE N=     25 ,E =      16 ,F=FEPOINT,ET=QUADRILATERAL
 -0.5000000E+02 -0.5000000E+02  0.4366637E-02 -0.3032763E+01 -0.4340803E-02 -0.4742808E-03
 -0.5000000E+02 -0.2500000E+02  0.4906414E-02  0.1734293E+01 -0.7986111E-03  0.4840983E-02
 -0.5000000E+02  0.0000000E+00  0.5196298E-02  0.1130473E+01  0.2214827E-02  0.4700643E-02
 -0.5000000E+02  0.2500000E+02  0.4906414E-02  0.1734293E+01 -0.7986111E-03  0.4840983E-02
 -0.5000000E+02  0.5000000E+02  0.4366637E-02 -0.3032763E+01 -0.4340803E-02 -0.4742808E-03
 -0.2500000E+02 -0.5000000E+02  0.4906415E-02  0.1734293E+01 -0.7986111E-03  0.4840984E-02
 -0.2500000E+02 -0.2500000E+02  0.6133443E-02 -0.3632644E+00  0.5733186E-02 -0.2179381E-02
 -0.2500000E+02  0.0000000E+00  0.7142343E-02 -0.1437944E+01  0.9460891E-03 -0.7079405E-02
 -0.2500000E+02  0.2500000E+02  0.6133443E-02 -0.3632644E+00  0.5733186E-02 -0.2179381E-02
 -0.2500000E+02  0.5000000E+02  0.4906415E-02  0.1734293E+01 -0.7986111E-03  0.4840984E-02
  0.0000000E+00 -0.5000000E+02  0.5196297E-02  0.1130473E+01  0.2214827E-02  0.4700643E-02
  0.0000000E+00 -0.2500000E+02  0.7142343E-02 -0.1437944E+01  0.9460893E-03 -0.7079405E-02
  0.0000000E+00  0.0000000E+00  0.6195346E-01  0.1795705E+01 -0.1381670E-01  0.6039313E-01
  0.0000000E+00  0.2500000E+02  0.7142343E-02 -0.1437944E+01  0.9460893E-03 -0.7079405E-02
  0.0000000E+00  0.5000000E+02  0.5196297E-02  0.1130473E+01  0.2214827E-02  0.4700643E-02
  0.2500000E+02 -0.5000000E+02  0.4906415E-02  0.1734293E+01 -0.7986111E-03  0.4840984E-02
  0.2500000E+02 -0.2500000E+02  0.6133444E-02 -0.3632643E+00  0.5733187E-02 -0.2179381E-02
  0.2500000E+02  0.0000000E+00  0.7142343E-02 -0.1437944E+01  0.9460891E-03 -0.7079405E-02
  0.2500000E+02  0.2500000E+02  0.6133444E-02 -0.3632643E+00  0.5733187E-02 -0.2179381E-02
  0.2500000E+02  0.5000000E+02  0.4906415E-02  0.1734293E+01 -0.7986111E-03  0.4840984E-02
  0.5000000E+02 -0.5000000E+02  0.4366637E-02 -0.3032763E+01 -0.4340803E-02 -0.4742807E-03
  0.5000000E+02 -0.2500000E+02  0.4906414E-02  0.1734293E+01 -0.7986111E-03  0.4840984E-02
  0.5000000E+02  0.0000000E+00  0.5196298E-02  0.1130473E+01  0.2214827E-02  0.4700643E-02
  0.5000000E+02  0.2500000E+02  0.4906414E-02  0.1734293E+01 -0.7986111E-03  0.4840984E-02
  0.5000000E+02  0.5000000E+02  0.4366637E-02 -0.3032763E+01 -0.4340803E-02 -0.4742807E-03
           1           2           7           6
           2           3           8           7
           3           4           9           8
           4           5          10           9
           6           7          12          11
           7           8          13          12
           8           9          14          13
           9          10          15          14
          11          12          17          16
          12          13          18          17
          13          14          19          18
          14          15          20          19
          16          17          22          21
          17          18          23          22
          18          19          24          23
          19          20          25          24
