 VARIABLES="X" "Y" "abs(eta) (m)" "angle(phi) (rad)" "PRE1" "PRE2"
ZONE N=     25 ,E =      16 ,F=FEPOINT,ET=QUADRILATERAL
 -0.5000000E+02 -0.5000000E+02  0.4434244E-02 -0.6537816E-01  0.4424770E-02 -0.2896962E-03
 -0.5000000E+02 -0.2500000E+02  0.5067770E-02 -0.1863003E+01 -0.1459853E-02 -0.4852950E-02
 -0.5000000E+02  0.0000000E+00  0.5415575E-02 -0.2582476E+01 -0.4590913E-02 -0.2872625E-02
 -0.5000000E+02  0.2500000E+02  0.5067769E-02 -0.1863003E+01 -0.1459853E-02 -0.4852949E-02
 -0.5000000E+02  0.5000000E+02  0.4434244E-02 -0.6537814E-01  0.4424770E-02 -0.2896961E-03
 -0.2500000E+02 -0.5000000E+02  0.4779433E-02 -0.1867472E+01 -0.1397233E-02 -0.4570637E-02
 -0.2500000E+02 -0.2500000E+02  0.6223544E-02  0.1906415E+01 -0.2049746E-02  0.5876312E-02
 -0.2500000E+02  0.0000000E+00  0.7690405E-02  0.6482561E+00  0.6130314E-02  0.4643445E-02
 -0.2500000E+02  0.2500000E+02  0.6223544E-02  0.1906415E+01 -0.2049746E-02  0.5876312E-02
 -0.2500000E+02  0.5000000E+02  0.4779433E-02 -0.1867472E+01 -0.1397233E-02 -0.4570637E-02
  0.0000000E+00 -0.5000000E+02  0.4733219E-02 -0.2593796E+01 -0.4040627E-02 -0.2465096E-02
  0.0000000E+00 -0.2500000E+02  0.6713151E-02  0.6265398E+00  0.5438063E-02  0.3936224E-02
  0.0000000E+00  0.0000000E+00  0.5857398E-01 -0.2902576E+01 -0.5690879E-01 -0.1386724E-01
  0.0000000E+00  0.2500000E+02  0.6713151E-02  0.6265398E+00  0.5438063E-02  0.3936225E-02
  0.0000000E+00  0.5000000E+02  0.4733219E-02 -0.2593796E+01 -0.4040627E-02 -0.2465096E-02
  0.2500000E+02 -0.5000000E+02  0.4200770E-02 -0.1878351E+01 -0.1271694E-02 -0.4003656E-02
  0.2500000E+02 -0.2500000E+02  0.5045989E-02  0.1878102E+01 -0.1526372E-02  0.4809594E-02
  0.2500000E+02  0.0000000E+00  0.5735555E-02  0.5965146E+00  0.4745017E-02  0.3222019E-02
  0.2500000E+02  0.2500000E+02  0.5045989E-02  0.1878102E+01 -0.1526372E-02  0.4809594E-02
  0.2500000E+02  0.5000000E+02  0.4200770E-02 -0.1878351E+01 -0.1271694E-02 -0.4003656E-02
  0.5000000E+02 -0.5000000E+02  0.3601915E-02 -0.8160878E-01  0.3589927E-02 -0.2936217E-03
  0.5000000E+02 -0.2500000E+02  0.3910498E-02 -0.1885054E+01 -0.1208777E-02 -0.3718986E-02
  0.5000000E+02  0.0000000E+00  0.4047632E-02 -0.2609324E+01 -0.3487674E-02 -0.2054131E-02
  0.5000000E+02  0.2500000E+02  0.3910498E-02 -0.1885054E+01 -0.1208777E-02 -0.3718986E-02
  0.5000000E+02  0.5000000E+02  0.3601915E-02 -0.8160874E-01  0.3589927E-02 -0.2936215E-03
           1           2           7           6
           2           3           8           7
           3           4           9           8
           4           5          10           9
           6           7          12          11
           7           8          13          12
           8           9          14          13
           9          10          15          14
          11          12          17          16
          12          13          18          17
          13          14          19          18
          14          15          20          19
          16          17          22          21
          17          18          23          22
          18          19          24          23
          19          20          25          24
