	2	1
1	-0.000000	0.000000	-1.000000
2	-0.000000	0.000000	-1.000000
3	-0.000000	0.000000	-1.000000
4	0.000000	0.000000	-1.000000
5	0.000000	0.000000	-1.000000
6	0.000000	0.000000	-1.000000
7	0.000000	0.000000	-1.000000
8	-0.500000	0.000000	-0.866025
9	-0.433013	0.250000	-0.866025
10	-0.250000	0.433013	-0.866025
11	0.000000	0.500000	-0.866025
12	0.250000	0.433013	-0.866025
13	0.433013	0.250000	-0.866025
14	0.500000	0.000000	-0.866025
15	-0.866025	0.000000	-0.500000
16	-0.750000	0.433013	-0.500000
17	-0.433013	0.750000	-0.500000
18	0.000000	0.866025	-0.500000
19	0.433013	0.750000	-0.500000
20	0.750000	0.433013	-0.500000
21	0.866025	0.000000	-0.500000
22	-1.000000	0.000000	-0.000000
23	-0.866025	0.500000	-0.000000
24	-0.500000	0.866025	-0.000000
25	0.000000	1.000000	-0.000000
26	0.500000	0.866025	-0.000000
27	0.866025	0.500000	-0.000000
28	1.000000	0.000000	-0.000000
0	0	0	0
1	8	9	2
2	9	10	3
3	10	11	4
4	11	12	5
5	12	13	6
6	13	14	7
8	15	16	9
9	16	17	10
10	17	18	11
11	18	19	12
12	19	20	13
13	20	21	14
15	22	23	16
16	23	24	17
17	24	25	18
18	25	26	19
19	26	27	20
20	27	28	21
0	0	0	0
