 VARIABLES="X" "Y" "abs(eta) (m)" "angle(phi) (rad)" "PRE1" "PRE2"
ZONE N=     25 ,E =      16 ,F=FEPOINT,ET=QUADRILATERAL
 -0.5000000E+02 -0.5000000E+02  0.4017243E-02 -0.1643360E+01 -0.2912501E-03 -0.4006671E-02
 -0.5000000E+02 -0.2500000E+02  0.4482101E-02  0.2839953E+01 -0.4279737E-02  0.1331570E-02
 -0.5000000E+02  0.0000000E+00  0.4725776E-02  0.2118379E+01 -0.2460355E-02  0.4034800E-02
 -0.5000000E+02  0.2500000E+02  0.4482101E-02  0.2839953E+01 -0.4279737E-02  0.1331570E-02
 -0.5000000E+02  0.5000000E+02  0.4017243E-02 -0.1643360E+01 -0.2912501E-03 -0.4006671E-02
 -0.2500000E+02 -0.5000000E+02  0.4482099E-02  0.2839953E+01 -0.4279735E-02  0.1331570E-02
 -0.2500000E+02 -0.2500000E+02  0.5627027E-02  0.3239329E+00  0.5334371E-02  0.1791068E-02
 -0.2500000E+02  0.0000000E+00  0.6696213E-02 -0.9438678E+00  0.3928401E-02 -0.5422816E-02
 -0.2500000E+02  0.2500000E+02  0.5627027E-02  0.3239329E+00  0.5334371E-02  0.1791068E-02
 -0.2500000E+02  0.5000000E+02  0.4482099E-02  0.2839953E+01 -0.4279735E-02  0.1331570E-02
  0.0000000E+00 -0.5000000E+02  0.4725775E-02  0.2118379E+01 -0.2460355E-02  0.4034799E-02
  0.0000000E+00 -0.2500000E+02  0.6696213E-02 -0.9438679E+00  0.3928401E-02 -0.5422816E-02
  0.0000000E+00  0.0000000E+00  0.5854403E-01  0.1809549E+01 -0.1384513E-01  0.5688335E-01
  0.0000000E+00  0.2500000E+02  0.6696213E-02 -0.9438679E+00  0.3928401E-02 -0.5422816E-02
  0.0000000E+00  0.5000000E+02  0.4725776E-02  0.2118379E+01 -0.2460355E-02  0.4034800E-02
  0.2500000E+02 -0.5000000E+02  0.4482100E-02  0.2839953E+01 -0.4279736E-02  0.1331570E-02
  0.2500000E+02 -0.2500000E+02  0.5627027E-02  0.3239329E+00  0.5334371E-02  0.1791068E-02
  0.2500000E+02  0.0000000E+00  0.6696212E-02 -0.9438679E+00  0.3928401E-02 -0.5422815E-02
  0.2500000E+02  0.2500000E+02  0.5627027E-02  0.3239329E+00  0.5334371E-02  0.1791068E-02
  0.2500000E+02  0.5000000E+02  0.4482100E-02  0.2839953E+01 -0.4279736E-02  0.1331570E-02
  0.5000000E+02 -0.5000000E+02  0.4017243E-02 -0.1643360E+01 -0.2912500E-03 -0.4006671E-02
  0.5000000E+02 -0.2500000E+02  0.4482099E-02  0.2839953E+01 -0.4279735E-02  0.1331570E-02
  0.5000000E+02  0.0000000E+00  0.4725776E-02  0.2118379E+01 -0.2460356E-02  0.4034800E-02
  0.5000000E+02  0.2500000E+02  0.4482099E-02  0.2839953E+01 -0.4279735E-02  0.1331570E-02
  0.5000000E+02  0.5000000E+02  0.4017243E-02 -0.1643360E+01 -0.2912500E-03 -0.4006671E-02
           1           2           7           6
           2           3           8           7
           3           4           9           8
           4           5          10           9
           6           7          12          11
           7           8          13          12
           8           9          14          13
           9          10          15          14
          11          12          17          16
          12          13          18          17
          13          14          19          18
          14          15          20          19
          16          17          22          21
          17          18          23          22
          18          19          24          23
          19          20          25          24
