 VARIABLES="X" "Y" "abs(eta) (m)" "angle(phi) (rad)" "PRE1" "PRE2"
ZONE N=     25 ,E =      16 ,F=FEPOINT,ET=QUADRILATERAL
 -0.5000000E+02 -0.5000000E+02  0.5010083E-01 -0.3027180E+01 -0.4977327E-01 -0.5719669E-02
 -0.5000000E+02 -0.2500000E+02  0.5981689E-01  0.4424778E+00  0.5405613E-01  0.2561239E-01
 -0.5000000E+02  0.0000000E+00  0.6504137E-01  0.3103791E+01 -0.6499490E-01  0.2458100E-02
 -0.5000000E+02  0.2500000E+02  0.5981689E-01  0.4424778E+00  0.5405613E-01  0.2561239E-01
 -0.5000000E+02  0.5000000E+02  0.5010082E-01 -0.3027180E+01 -0.4977326E-01 -0.5719675E-02
 -0.2500000E+02 -0.5000000E+02  0.5151524E-01  0.3951026E+00  0.4754636E-01  0.1982837E-01
 -0.2500000E+02 -0.2500000E+02  0.7093003E-01  0.3472079E+00  0.6669738E-01  0.2413562E-01
 -0.2500000E+02  0.0000000E+00  0.9205722E-01  0.2850564E+00  0.8834232E-01  0.2588756E-01
 -0.2500000E+02  0.2500000E+02  0.7093002E-01  0.3472079E+00  0.6669737E-01  0.2413562E-01
 -0.2500000E+02  0.5000000E+02  0.5151524E-01  0.3951026E+00  0.4754636E-01  0.1982837E-01
  0.0000000E+00 -0.5000000E+02  0.4485780E-01  0.2975296E+01 -0.4423897E-01  0.7425354E-02
  0.0000000E+00 -0.2500000E+02  0.6359760E-01  0.1534822E+00  0.6284999E-01  0.9722823E-02
  0.0000000E+00  0.0000000E+00  0.3615386E+00 -0.2447704E+01 -0.2779382E+00 -0.2312153E+00
  0.0000000E+00  0.2500000E+02  0.6359760E-01  0.1534823E+00  0.6285000E-01  0.9722827E-02
  0.0000000E+00  0.5000000E+02  0.4485781E-01  0.2975296E+01 -0.4423898E-01  0.7425355E-02
  0.2500000E+02 -0.5000000E+02  0.3319208E-01  0.2007284E+00  0.3252564E-01  0.6617941E-02
  0.2500000E+02 -0.2500000E+02  0.3496104E-01  0.8172846E-03  0.3496103E-01  0.2857312E-04
  0.2500000E+02  0.0000000E+00  0.3335560E-01 -0.3088286E+00  0.3177756E-01 -0.1013820E-01
  0.2500000E+02  0.2500000E+02  0.3496104E-01  0.8174926E-03  0.3496103E-01  0.2858039E-04
  0.2500000E+02  0.5000000E+02  0.3319209E-01  0.2007284E+00  0.3252564E-01  0.6617944E-02
  0.5000000E+02 -0.5000000E+02  0.2452321E-01  0.2918236E+01 -0.2391404E-01  0.5431998E-02
  0.5000000E+02 -0.2500000E+02  0.2396194E-01 -0.3614606E-01  0.2394629E-01 -0.8659413E-03
  0.5000000E+02  0.0000000E+00  0.2309613E-01  0.2525676E+01 -0.1885209E-01  0.1334279E-01
  0.5000000E+02  0.2500000E+02  0.2396194E-01 -0.3614597E-01  0.2394629E-01 -0.8659392E-03
  0.5000000E+02  0.5000000E+02  0.2452321E-01  0.2918236E+01 -0.2391404E-01  0.5431996E-02
           1           2           7           6
           2           3           8           7
           3           4           9           8
           4           5          10           9
           6           7          12          11
           7           8          13          12
           8           9          14          13
           9          10          15          14
          11          12          17          16
          12          13          18          17
          13          14          19          18
          14          15          20          19
          16          17          22          21
          17          18          23          22
          18          19          24          23
          19          20          25          24
