 VARIABLES="X" "Y" "abs(eta) (m)" "angle(phi) (rad)" "PRE1" "PRE2"
ZONE N=     25 ,E =      16 ,F=FEPOINT,ET=QUADRILATERAL
 -0.5000000E+02 -0.5000000E+02  0.3547600E-01  0.1574771E+01 -0.1410153E-03  0.3547572E-01
 -0.5000000E+02 -0.2500000E+02  0.4017944E-01 -0.1257500E+01  0.1238314E-01 -0.3822362E-01
 -0.5000000E+02  0.0000000E+00  0.4236836E-01  0.1395071E+01  0.7406950E-02  0.4171588E-01
 -0.5000000E+02  0.2500000E+02  0.4017944E-01 -0.1257500E+01  0.1238314E-01 -0.3822362E-01
 -0.5000000E+02  0.5000000E+02  0.3547600E-01  0.1574771E+01 -0.1410144E-03  0.3547572E-01
 -0.2500000E+02 -0.5000000E+02  0.4017944E-01 -0.1257500E+01  0.1238314E-01 -0.3822362E-01
 -0.2500000E+02 -0.2500000E+02  0.5035182E-01 -0.1336499E+01  0.1168964E-01 -0.4897610E-01
 -0.2500000E+02  0.0000000E+00  0.5984651E-01 -0.1427974E+01  0.8518363E-02 -0.5923717E-01
 -0.2500000E+02  0.2500000E+02  0.5035182E-01 -0.1336499E+01  0.1168964E-01 -0.4897610E-01
 -0.2500000E+02  0.5000000E+02  0.4017944E-01 -0.1257500E+01  0.1238314E-01 -0.3822362E-01
  0.0000000E+00 -0.5000000E+02  0.4236836E-01  0.1395071E+01  0.7406951E-02  0.4171589E-01
  0.0000000E+00 -0.2500000E+02  0.5984651E-01 -0.1427974E+01  0.8518359E-02 -0.5923717E-01
  0.0000000E+00  0.0000000E+00  0.3617340E+00  0.2237158E+01 -0.2235986E+00  0.2843504E+00
  0.0000000E+00  0.2500000E+02  0.5984650E-01 -0.1427974E+01  0.8518365E-02 -0.5923716E-01
  0.0000000E+00  0.5000000E+02  0.4236836E-01  0.1395071E+01  0.7406952E-02  0.4171588E-01
  0.2500000E+02 -0.5000000E+02  0.4017944E-01 -0.1257500E+01  0.1238314E-01 -0.3822362E-01
  0.2500000E+02 -0.2500000E+02  0.5035183E-01 -0.1336499E+01  0.1168964E-01 -0.4897611E-01
  0.2500000E+02  0.0000000E+00  0.5984650E-01 -0.1427974E+01  0.8518358E-02 -0.5923716E-01
  0.2500000E+02  0.2500000E+02  0.5035183E-01 -0.1336499E+01  0.1168964E-01 -0.4897611E-01
  0.2500000E+02  0.5000000E+02  0.4017945E-01 -0.1257500E+01  0.1238314E-01 -0.3822363E-01
  0.5000000E+02 -0.5000000E+02  0.3547600E-01  0.1574771E+01 -0.1410137E-03  0.3547572E-01
  0.5000000E+02 -0.2500000E+02  0.4017944E-01 -0.1257500E+01  0.1238314E-01 -0.3822362E-01
  0.5000000E+02  0.0000000E+00  0.4236836E-01  0.1395071E+01  0.7406954E-02  0.4171589E-01
  0.5000000E+02  0.2500000E+02  0.4017944E-01 -0.1257500E+01  0.1238314E-01 -0.3822362E-01
  0.5000000E+02  0.5000000E+02  0.3547600E-01  0.1574771E+01 -0.1410142E-03  0.3547572E-01
           1           2           7           6
           2           3           8           7
           3           4           9           8
           4           5          10           9
           6           7          12          11
           7           8          13          12
           8           9          14          13
           9          10          15          14
          11          12          17          16
          12          13          18          17
          13          14          19          18
          14          15          20          19
          16          17          22          21
          17          18          23          22
          18          19          24          23
          19          20          25          24
